Campaigns sent,Emails sent,Delivery rate,Delivery rate growth rate,Open rate,Open rate growth rate,Open rate total,Click rate,Click rate growth rate,Click rate total,Unsubscribe rate,Unsubscribe rate growth rate,Unsubscribe rate total,Bounce rate,Bounce rate growth rate,Bounce rate total
Talk on Tuesday: Considering who makes a good oracy leader,Tue 27 Jun 2023,3567,1751,49.09,1006,28.2,57.45,FALSE,Talk on Tuesday: Considering who makes a good oracy leader,3161,3575,2030,8,2,
Oracy & Maths free CPD mailout,Fri 23 Jun 2023,386,231,59.84,108,27.98,46.75,FALSE,Oracy & maths CPD session: Videos & resources links,1211,391,370,5,0,
Delta eligible to renew email,Fri 23 Jun 2023,37,6,16.22,1,2.7,16.67,FALSE,Renew your membership today!,45,37,16,0,0,
Exclusive content available now when you register as a Voice 21 Oracy School,Thu 22 Jun 2023,6010,2621,43.61,996,16.57,38,FALSE,Exclusive content available now when you register as a Voice 21 Oracy School,4687,6108,7209,98,9,
MG 2023/24 - deferred schools Wensley Fold,Thu 22 Jun 2023,1,0,0,0,0,0,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,0,1,0,0,0,
MG 2023/24 - deferred schools (copy),Wed 21 Jun 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,1,1,2,0,0,
LD change to PoL event South A,Wed 21 Jun 2023,20,13,65,1,5,7.69,FALSE,URGENT - Changes to the Presentation of Learning event,253,20,3,0,0,
Voice 21 Maths and Oracy Starts Soon,Tue 20 Jun 2023,388,195,50.26,87,22.42,44.62,FALSE,30 mins until The oracy & maths taster CPD session begins!,409,395,187,7,0,
Talk on Tuesday: Introducing our brand new journal,Tue 20 Jun 2023,3477,1772,50.96,236,6.79,13.32,FALSE,Talk on Tuesday: Introducing our brand new journal,4347,3491,464,14,1,
The Oracy Opinion - Announcing Voice 21's annual impact journal,Mon 19 Jun 2023,5390,2246,41.67,942,17.48,41.94,FALSE,The Oracy Opinion -  Introducing our brand new journal,5316,5600,2736,210,10,
MG 2023/24 - last chance renewal reminder existing schools,Mon 19 Jun 2023,218,115,52.75,74,33.94,64.35,FALSE,Last chance to renew your Voice 21 Membership for September,649,218,665,0,0,
LW - 15.6.23 Membership push,Fri 16 Jun 2023,496,117,23.59,17,3.43,14.53,FALSE,🏃Be quick - one week to go!,419,497,24,1,0,
MG 2023/24 - multi-year national cohort - Cathedral,Thu 15 Jun 2023,11,11,100,3,27.27,27.27,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,41,12,8,1,0,
Delta eligible to renew email,Tue 13 Jun 2023,41,10,24.39,1,2.44,10,FALSE,Renew your membership now!,91,42,1,1,0,
Talk on Tuesday: Creating an oracy-rich secondary transition,Tue 13 Jun 2023,3480,1733,49.8,726,20.86,41.89,FALSE,Talk on Tuesday: Creating an oracy-rich secondary transition,5198,3498,1503,18,3,
Voice 21: The oracy & maths taster CPD session,Tue 13 Jun 2023,5326,1760,33.05,406,7.62,23.07,FALSE,Voice 21: The oracy & maths taster CPD session,8203,5362,830,36,6,
MG 2023/24 - new since 15.05,Mon 12 Jun 2023,4,4,100,3,75,75,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,49,4,4,0,0,
Reminder to complete Autumn 22 endline survey,Mon 12 Jun 2023,573,276,48.17,142,24.78,51.45,FALSE,Reminder to complete your Oracy Surveys!,5632,574,1606,1,0,
OL - Improving Vocab - St Michael's,Fri 09 Jun 2023,18,7,38.89,2,11.11,28.57,FALSE,Get ready for your Open Learning course - Tuesday 13th June,18,18,3,0,0,
Q&A Impact and Become a Voice 21 Oracy School,Fri 09 Jun 2023,144,94,65.28,35,24.31,37.23,FALSE,"Impact, Insight & Q&A with Voice 21 recording, slides and resources",363,146,102,2,0,
Secondary Session Mailout,Fri 09 Jun 2023,208,139,66.83,69,33.17,49.64,FALSE,"Get talking in Class: Secondary recording, slides and resources",493,210,275,2,0,
Primary Session Mailout,Fri 09 Jun 2023,231,127,54.98,55,23.81,43.31,FALSE,"Get talking in Class: Primary recording, slides, resources",541,233,171,2,0,
1 hour until Become a Voice 21 Oracy School: Impact. Insight & Q&A with Voice 21,Thu 08 Jun 2023,143,55,38.46,15,10.49,27.27,FALSE,1 hour until Become a Voice 21 Oracy School: Impact. Insight & Q&A with Voice 21,104,145,26,2,0,
Oracy Opinion 08/06/23,Thu 08 Jun 2023,4686,2030,43.32,298,6.36,14.68,FALSE,Oracy Opinion 08/06/23,4147,4742,719,56,11,
Voice 21: Get talking in Class: Secondary with Bishop Young Academy,Wed 07 Jun 2023,207,102,49.28,48,23.19,47.06,FALSE,Voice 21: Get talking in Class: Secondary with Bishop Young Academy,198,210,128,3,0,
MG 2023/24 - open learning is now live (individual schools NB and renewals registered before 7 June),Wed 07 Jun 2023,157,114,72.61,83,52.87,72.81,FALSE,Voice 21 Open Learning booking form is now live!,888,157,506,0,0,
Voice 21: Get talking in Class: Primary with Crab Lane Primary School,Tue 06 Jun 2023,229,106,46.29,49,21.4,46.23,FALSE,1 hour until Get talking in Class: Primary with Crab Ln. Primary!,254,232,121,3,0,
Talk on Tuesday: Introducing our Summer Oracy Challenge,Tue 06 Jun 2023,3482,1561,44.83,233,6.69,14.93,FALSE,Talk on Tuesday: Introducing our Summer Oracy Challenge,4945,3503,518,21,2,
Get talking in Class: Primary with Crab Lane Primary School reminder and link,Mon 05 Jun 2023,218,128,58.72,37,16.97,28.91,FALSE,V21 Get talking in Class: Primary Zoom Link (Not cancelled),352,221,65,3,0,
LW - 5.6.23 Membership push,Mon 05 Jun 2023,429,108,25.17,20,4.66,18.52,FALSE,Got an appetite for oracy?,332,433,30,4,0,
MG 2023/24 - ONE OFF Plaistow,Mon 05 Jun 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,1,1,2,0,0,
Ark PoL invitation,Mon 05 Jun 2023,55,21,38.18,0,0,0,FALSE,Save the date for your Presentation of Learning!,165,55,0,0,0,
MG 2023/24 - deferred schools (HT only),Mon 05 Jun 2023,2,1,50,1,50,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,2,2,3,0,0,
MG 2023/24 - renewal reminder existing schools,Mon 05 Jun 2023,280,153,54.64,93,33.21,60.78,FALSE,Renew your Voice 21 membership today!,879,281,615,1,0,
MG 2023/24 - deferred schools,Mon 05 Jun 2023,58,33,56.9,23,39.66,69.7,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,129,60,82,2,0,
test - open learning,Fri 02 Jun 2023,1,1,100,1,100,100,FALSE,test - open learning,3,1,6,0,0,
test - open learning,Fri 02 Jun 2023,1,1,100,1,100,100,FALSE,test - open learning,4,1,1,0,0,
MG 2023/24 - ONE OFF Plaistow,Thu 01 Jun 2023,1,1,100,1,100,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,2,1,4,0,0,
LW Oracy Starter Bundle - Ealing 2,Thu 25 May 2023,5,5,100,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,30,5,0,0,0,
LW Oracy Starter Bundle - Ealing,Wed 24 May 2023,11,7,63.64,4,36.36,57.14,FALSE,Voice 21 Oracy Starter Bundle,13,12,8,1,0,
MG 2023/24 - ex-member,Wed 24 May 2023,192,84,43.75,53,27.6,63.1,FALSE,Register now to become a Voice 21 Oracy School in September,191,209,432,17,1,
LW - 23.5.23 Pre-pipeline membership push,Tue 23 May 2023,2939,945,32.15,211,7.18,22.33,FALSE,👋Hello from all of us at Voice 21!,2811,4183,488,1244,23,
LW - 22.5.23 Membership push,Tue 23 May 2023,538,159,29.55,39,7.25,24.53,FALSE,Oracy - what does impact look like?,555,546,117,8,1,
MG 2023/24 - new since 15.05,Tue 23 May 2023,8,7,87.5,7,87.5,100,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,72,8,45,0,0,
Talk on Tuesday: Your invite to the Great Oracy Exhibition,Tue 23 May 2023,3482,985,28.29,125,3.59,12.69,FALSE,Talk on Tuesday: Your invite to the Great Oracy Exhibition,3060,3503,348,21,2,
MG 2023/24 - renewed since 15.05,Mon 22 May 2023,7,5,71.43,2,28.57,40,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,33,7,16,0,0,
Missed PoL follow-up email (Our Lady of Lourdes Catholic MAT Classroom Practice),Mon 22 May 2023,29,15,51.72,6,20.69,40,FALSE,Your next steps as an Oracy Champion,42,29,6,0,0,
LD Expert Seminar 3 follow up,Fri 19 May 2023,53,28,52.83,3,5.66,10.71,FALSE,Leadership Development - Recording of Expert Seminar 3,81,53,14,0,0,
MG 2023/24 - multi-year national cohort,Fri 19 May 2023,109,69,63.3,49,44.95,71.01,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,364,115,291,6,0,
Talk on Tuesday: Exploring the role of talk in maths,Fri 19 May 2023,3483,1718,49.33,982,28.19,57.16,FALSE,Talk on Tuesday: Exploring the role of talk in maths,4549,3524,2053,41,1,
test,Thu 18 May 2023,1,0,0,0,0,0,FALSE,test,0,1,0,0,0,
Missed PoL follow-up email - Ealing,Thu 18 May 2023,40,14,35,3,7.5,21.43,FALSE,Your next steps as an Oracy Champion,56,40,3,0,0,
MG 2023/24 - groups eligible to renew,Thu 18 May 2023,300,180,60,125,41.67,69.44,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,400,306,1148,6,0,
Oracy Opinion 16/05/23,Wed 17 May 2023,4688,1985,42.34,845,18.02,42.57,FALSE,Oracy Opinion: Oracy & Social Mobility; free resources & CPD,5416,4753,1789,65,5,
Missed PoL follow-up email (pols between 5th-11th May),Tue 16 May 2023,29,10,34.48,4,13.79,40,FALSE,Your next steps as an Oracy Champion,25,29,4,0,0,
LD Expert Seminar 3 reminder,Tue 16 May 2023,53,29,54.72,3,5.66,10.34,FALSE,Rupert Knight - Leadership Expert Seminar this Wednesday,78,53,3,0,0,
MG 2023/24 - existing schools - PICKUP,Tue 16 May 2023,18,10,55.56,6,33.33,60,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,50,18,15,0,0,
Talk on Tuesday: Exploring the role of talk in maths,Tue 16 May 2023,2615,1263,48.3,172,6.58,13.62,FALSE,Talk on Tuesday: Exploring the role of talk in maths,5129,2624,458,9,0,
Delta DD3/PoL,Mon 15 May 2023,54,17,31.48,1,1.85,5.88,FALSE,REMINDER: your Voice 21 Development Date,93,58,1,4,0,
MG 2023/24 - new business schools,Mon 15 May 2023,89,67,75.28,60,67.42,89.55,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,671,90,317,1,0,
MG 2023/24 - existing schools,Mon 15 May 2023,366,208,56.83,128,34.97,61.54,FALSE,Voice 21 Oracy Schools Membership Guide 2023-24 and next steps,891,388,897,22,0,
LW - 10.5.23 Membership push,Wed 10 May 2023,485,120,24.74,23,4.74,19.17,FALSE,👑Oracy - the king of classroom?,248,492,29,7,1,
LD Expert Seminar 3,Wed 10 May 2023,53,29,54.72,0,0,0,FALSE,Get ready for the next Leadership Development Expert Seminar!,89,53,0,0,0,
ONE-OFF (x2 vv contacts) Autumn 22 end line Oracy Survey link,Tue 09 May 2023,2,1,50,1,50,100,FALSE,Measure the impact of being a Voice 21 School!,1,2,1,0,0,
Missed PoL follow-up email (pols on 3rd and 4th May),Tue 09 May 2023,101,40,39.6,17,16.83,42.5,FALSE,Your next steps as an Oracy Champion,86,101,38,0,0,
Talk on Tuesday: Talking about mental health,Tue 09 May 2023,23,20,86.96,3,13.04,15,FALSE,Talk on Tuesday: Talking about mental health,91,23,57,0,0,
Talk on Tuesday: Talking about mental health,Tue 09 May 2023,2674,1225,45.81,182,6.81,14.86,FALSE,Talk on Tuesday: Talking about mental health,4392,2680,519,6,1,
Annual conference review......(in case you missed it),Fri 05 May 2023,4573,1211,26.48,97,2.12,8.01,FALSE,"A look back at our conference: Unheard Voices, Lost Potential.",2766,4677,402,104,5,
ONE OFF PoL invitation (next week),Fri 05 May 2023,1,1,100,0,0,0,FALSE,Your upcoming Presentation of Learning!,4,1,0,0,0,
Voice 21 Membership Next Year,Wed 03 May 2023,53,27,50.94,2,3.77,7.41,FALSE,Voice 21 Membership Next Year,282,53,2,0,0,
LD PoL invite summer 23,Wed 03 May 2023,28,18,64.29,16,57.14,88.89,FALSE,Save the date for your Presentation of Learning!,159,28,66,0,0,
Autumn 22 end line Oracy Survey link,Wed 03 May 2023,589,253,42.95,120,20.37,47.43,FALSE,Measure the impact of being a Voice 21 School!,4821,591,1616,2,1,
"Missed PoL follow-up email - PoLs from 25th, 26th and 27th April",Tue 02 May 2023,86,38,44.19,15,17.44,39.47,FALSE,Your next steps as an Oracy Champion,112,86,30,0,0,
Talk on Tuesday: Integrating oracy into your curriculum,Tue 02 May 2023,2668,1144,42.88,203,7.61,17.74,FALSE,Talk on Tuesday: Integrating oracy into your curriculum,3215,2677,577,9,1,
Welcome to Day 1 - Annual Conference,Tue 02 May 2023,240,147,61.25,62,25.83,42.18,FALSE,Thank you for attending the Voice 21 annual conference,464,240,119,0,0,
Welcome to Day 1 - Annual Conference,Fri 28 Apr 2023,240,162,67.5,83,34.58,51.23,FALSE,Welcome to the 2023 Voice 21 annual conference,387,240,395,0,0,
Joining instructions annual conference 2023,Thu 27 Apr 2023,4,3,75,1,25,33.33,FALSE,"Unheard Voices, Lost Potential - Information for delegates",10,4,3,0,0,
Joining instructions annual conference 2023,Thu 27 Apr 2023,237,181,76.37,139,58.65,76.8,FALSE,"Unheard Voices, Lost Potential - Information for delegates",516,237,509,0,0,
Missed PoL follow-up email - second (and final!) group,Thu 27 Apr 2023,250,124,49.6,35,14,28.23,FALSE,Your next steps as an Oracy Champion,483,251,60,1,0,
Jan 23 Start line Oracy Survey Report (extension schools),Wed 26 Apr 2023,19,18,94.74,18,94.74,100,FALSE,Your School's Oracy Report,303,19,86,0,0,
LD Expert Seminar 2 - cancellation,Wed 26 Apr 2023,53,30,56.6,0,0,0,FALSE,Urgent - today's expert seminar is cancelled,68,53,0,0,0,
ONE OFF PoL invitation (next week),Wed 26 Apr 2023,102,47,46.08,19,18.63,40.43,FALSE,Your upcoming Presentation of Learning!,116,102,59,0,0,
ONE OFF PoL invitation,Wed 26 Apr 2023,70,37,52.86,18,25.71,48.65,FALSE,Your upcoming Presentation of Learning is today!,172,70,52,0,0,
LW Oracy Starter Bundle - Minerva,Tue 25 Apr 2023,8,2,25,1,12.5,50,FALSE,Voice 21 Oracy Starter Bundle,3,8,4,0,0,
Talk on Tuesday: Harkness Discussions,Tue 25 Apr 2023,2672,1083,40.53,157,5.88,14.5,FALSE,Talk on Tuesday: Harkness Discussions,4156,2684,359,12,0,
LW - 24.4.23 Membership push,Mon 24 Apr 2023,381,79,20.73,14,3.67,17.72,FALSE,👀Are you free on Friday?,141,386,15,5,0,
Missed PoL follow-up email,Mon 24 Apr 2023,268,123,45.9,33,12.31,26.83,FALSE,Your next steps as an Oracy Champion,472,271,60,3,0,
The Oracy Opinion: Looking ahead to Unheard Voices,Fri 21 Apr 2023,4669,1837,39.34,261,5.59,14.21,FALSE,The Oracy Opinion: Looking ahead to Unheard Voices,3115,4752,631,83,8,
Last chance to sign up for International Oracy Leaders 2023!,Fri 21 Apr 2023,286,145,50.7,3,1.05,2.07,FALSE,Last chance to sign up for International Oracy Leaders 2023!,305,289,4,3,0,
Last chance to sign up for International Oracy Leaders 2023!,Fri 21 Apr 2023,155,82,52.9,40,25.81,48.78,FALSE,Last chance to sign up for International Oracy Leaders 2023!,208,157,256,2,1,
LW - NB April welcome keeping warm comms,Fri 21 Apr 2023,71,36,50.7,19,26.76,52.78,FALSE,Welcome to Voice 21 🎉,167,72,52,1,0,
Joining instructions annual conference 2023,Fri 21 Apr 2023,212,159,75,121,57.08,76.1,FALSE,"Unheard Voices, Lost Potential - Information for delegates",781,212,660,0,0,
Early bird offer for previous V21 schools,Wed 19 Apr 2023,295,82,27.8,4,1.36,4.88,FALSE,Voice 21 Membership Offer- register now at last year's price!,258,319,4,24,1,
LD Expert Seminar 2,Wed 19 Apr 2023,52,24,46.15,0,0,0,FALSE,Get ready for the second Leadership Development Expert Seminar!,66,52,0,0,0,
Talk on Tuesday: Unheard voices,Tue 18 Apr 2023,2666,1322,49.59,760,28.51,57.49,FALSE,Talk on Tuesday: Unheard voices,3612,2674,1845,8,1,
Reminder - Early Bird renewal offer for September,Tue 18 Apr 2023,344,146,42.44,43,12.5,29.45,FALSE,Don't miss out - renew now at last year's price!,1283,349,74,5,0,
We are excited to announce Alastair Campbell will be joining us at Unheard Voices,Mon 17 Apr 2023,5811,1896,32.63,324,5.58,17.09,FALSE,Announcing...Alastair Campbell in-person at Unheard Voices Lost Potential,3519,6129,467,318,4,
Annual Conference Invite,Mon 17 Apr 2023,53,19,35.85,3,5.66,15.79,FALSE,Annual Conference Invite,34,53,3,0,0,
Annual Conference Invite,Mon 17 Apr 2023,32,13,40.62,1,3.12,7.69,FALSE,Annual Conference Invite,24,32,1,0,0,
Voice 21 Membership Next Year,Mon 17 Apr 2023,60,15,25,4,6.67,26.67,FALSE,Voice 21 Membership Next Year,80,60,6,0,0,
LW - 11.4.23 Membership push,Fri 14 Apr 2023,380,110,28.95,18,4.74,16.36,FALSE,Last chance to join us in London!,184,387,19,7,3,
IOL COVID relief,Thu 13 Apr 2023,81,35,43.21,11,13.58,31.43,FALSE,Free COVID-catch up resources from UK national oracy charity,65,83,24,2,1,
"Unheard Voices, Lost Potential discount",Tue 04 Apr 2023,3,3,100,1,33.33,33.33,FALSE,"Exclusive Unheard Voices, Lost Potential discount code",592,3,9,0,0,
Delta DD3/PoL,Fri 31 Mar 2023,42,11,26.19,0,0,0,FALSE,IMPORTANT: Changes to your upcoming Voice 21 Programme dates,104,45,0,3,0,
LW Oracy Starter Bundle - Minerva,Fri 31 Mar 2023,12,7,58.33,3,25,42.86,FALSE,Voice 21 Oracy Starter Bundle,75,13,6,1,0,
Have a wonderful Easter Break,Fri 31 Mar 2023,611,165,27,16,2.62,9.7,FALSE,Have a wonderful Easter Break,555,622,148,11,0,
The Oracy Opinion Newsletter March 2023,Thu 30 Mar 2023,4659,1481,31.79,291,6.25,19.65,FALSE,"The Oracy Opinion Newsletter, March 2023",3411,4730,485,71,8,
LW Oracy Starter Bundle - Education Scotland,Wed 29 Mar 2023,1,1,100,0,0,0,FALSE,Voice 21 Oracy Starter Bundle,5,1,0,0,0,
LW - 27.3.23 Membership push,Tue 28 Mar 2023,1763,682,38.68,107,6.07,15.69,FALSE,See you at our conference!,1326,1824,153,61,5,
Talk on Tuesday: Creating confident speakers,Tue 28 Mar 2023,2660,1165,43.8,180,6.77,15.45,FALSE,Talk on Tuesday: Creating confident speakers,3574,2668,347,8,0,
Ark Development Day Resources,Fri 24 Mar 2023,71,19,26.76,3,4.23,15.79,FALSE,Ark Development Day Resources,77,73,13,2,0,
LD Expert Seminar follow up,Fri 24 Mar 2023,53,30,56.6,7,13.21,23.33,FALSE,Leadership Development - Recording of Expert Seminar 1,193,53,12,0,0,
"Unheard Voices, Lost Potential - Voice 21 conference 2023",Thu 23 Mar 2023,106,48,45.28,13,12.26,27.08,FALSE,"Tickets on sale now for Unheard Voices, Lost Potential - Voice 21 conference 2023",273,106,21,0,0,
Early bird renewal email for September,Wed 22 Mar 2023,371,155,41.78,47,12.67,30.32,FALSE,Renew now at last year's price!,2063,382,103,11,1,
Extension to complete Oracy Survey Jan 23,Wed 22 Mar 2023,186,96,51.61,31,16.67,32.29,FALSE,Extra time to complete your Oracy Surveys!,5137,188,735,2,0,
Talk on Tuesday: Oracy and science,Tue 21 Mar 2023,2660,1213,45.6,268,10.08,22.09,FALSE,Talk on Tuesday: Oracy and science,6328,2669,815,9,0,
Annual Conference 2023 Programme launch registered delegates,Mon 20 Mar 2023,83,48,57.83,38,45.78,79.17,FALSE,"Unheard Voices, Lost Potential - Programme Launch!",210,84,128,1,0,
Voice 21 conference programme announcement,Mon 20 Mar 2023,4664,1442,30.92,223,4.78,15.46,FALSE,"Unheard Voices, Lost Potential: full programme schedule announcement",3103,4735,323,71,11,
Reminder - International Oracy Leaders 2023,Mon 20 Mar 2023,295,147,49.83,39,13.22,26.53,FALSE,There's still time to become an International Oracy Leader with Voice 21!,335,297,207,2,4,
LD SouthB Residential Details,Fri 17 Mar 2023,24,22,91.67,20,83.33,90.91,FALSE,Important Information for Leadership Development Residential Enclosed,90,24,51,0,0,
LW Oracy Starter Bundle - Education Scotland,Thu 16 Mar 2023,12,9,75,8,66.67,88.89,FALSE,Voice 21 Oracy Starter Bundle,57,12,74,0,0,
International Oracy Leaders 2021 follow up,Tue 14 Mar 2023,41,26,63.41,5,12.2,19.23,FALSE,International Oracy Leaders 2021 follow up,116,45,13,4,0,
"Talk on Tuesday: Unheard Voices, Lost Potential",Tue 14 Mar 2023,2618,1048,40.03,193,7.37,18.42,FALSE,"Talk on Tuesday: Unheard Voices, Lost Potential",3009,2625,603,7,2,
International Oracy Leaders 2023,Mon 13 Mar 2023,295,171,57.97,45,15.25,26.32,FALSE,Become an International Oracy Leader with Voice 21!,521,299,94,4,0,
LW - Leads: Reg open!,Mon 13 Mar 2023,267,71,26.59,20,7.49,28.17,FALSE,"🏁Go, go, go...registration is open!",277,283,51,16,0,
LW - Opps: Reg open!,Mon 13 Mar 2023,114,47,41.23,29,25.44,61.7,FALSE,"🏁Go, go, go...registration is open!",144,119,232,5,1,
